pod_institution,marc_code,oclc_code,registry_name,registry_url
mit,,MYG,MIT Libraries — Massachusetts Institute of Technology Libraries,https://registry.worldcat.org/registry/Institutions/110366
mit,,RQB,"MIT, Technical Public ARL Recon — MIT, TECH PUBL ARL RECON",https://registry.worldcat.org/registry/Institutions/131897
mit,,SGMIT,Singapore-MIT Alliance for Research and Technology (SMART) Centre,https://registry.worldcat.org/registry/Institutions/267611
penn,,DRP,"University of Pennsylvania, Center Judaic Studies",https://registry.worldcat.org/registry/Institutions/3957
penn,,PA8,University of Pennsylvania — Archives & Records Center,https://registry.worldcat.org/registry/Institutions/4940
penn,,PAM,"University of Pennsylvania, School of Medicine",https://registry.worldcat.org/registry/Institutions/91566
penn,,PAU,University of Pennsylvania Libraries — Penn Libraries,https://registry.worldcat.org/registry/Institutions/2583
penn,,PLL,University of Pennsylvania Biddle Law Library — Biddle Law Library,https://registry.worldcat.org/registry/Institutions/89028
penn,PPAnR,,"University of Pennsylvania, Center Judaic Studies",https://registry.worldcat.org/registry/Institutions/3957
penn,PU,,University of Pennsylvania Libraries — Penn Libraries,https://registry.worldcat.org/registry/Institutions/2583
penn,PU-Ar,,University of Pennsylvania — Archives & Records Center,https://registry.worldcat.org/registry/Institutions/4940
penn,PU-L,,University of Pennsylvania Biddle Law Library — Biddle Law Library,https://registry.worldcat.org/registry/Institutions/89028
penn,PU-Med,,"University of Pennsylvania, School of Medicine",https://registry.worldcat.org/registry/Institutions/91566
penn,,RIA,"University of Pennsylvania, Institute on Aging Library",https://registry.worldcat.org/registry/Institutions/3956
princeton,,FG1,"Princeton University, Romance Languages",https://registry.worldcat.org/registry/Institutions/4820
princeton,,FSPUL,PRINCETON UNIVERSITY - FS  SANDBOX — PRINCETON UNIV - FS SANDBOX,https://registry.worldcat.org/registry/Institutions/131976
princeton,NjP,,Princeton University Library — Firestone Library,https://registry.worldcat.org/registry/Institutions/1791
princeton,,P2L,Princeton University Latin American Pamphlet Collection,https://registry.worldcat.org/registry/Institutions/86612
princeton,,PRNCT,Princeton University Press,https://registry.worldcat.org/registry/Institutions/30469
princeton,,PUL,Princeton University Library — Firestone Library,https://registry.worldcat.org/registry/Institutions/1791
princeton,,PULEA,Princeton University — East Asian Library,https://registry.worldcat.org/registry/Institutions/4819
stanford,,CASUM,Stanford University Lane Medical Library,https://registry.worldcat.org/registry/Institutions/5678
stanford,CSt,,Stanford University — Cecil H. Green Library,https://registry.worldcat.org/registry/Institutions/3227
stanford,CSt-H,,Stanford University — Hoover Institution Library & Archives,https://registry.worldcat.org/registry/Institutions/91156
stanford,CSt-Law,,Stanford University Law School — Robert Crown Law Library,https://registry.worldcat.org/registry/Institutions/5681
stanford,,HIN,Stanford University — Hoover Institution Library & Archives,https://registry.worldcat.org/registry/Institutions/91156
stanford,,RCJ,Stanford University Law School — Robert Crown Law Library,https://registry.worldcat.org/registry/Institutions/5681
stanford,,S7Z,Stanford University — Graduate School of Business,https://registry.worldcat.org/registry/Institutions/5677
stanford,,ST2,"Stanford University, Interlibrary Service",https://registry.worldcat.org/registry/Institutions/113589
stanford,,STF,Stanford University — Cecil H. Green Library,https://registry.worldcat.org/registry/Institutions/3227
stanford,,STFGB,Stanford University Library Group Batchload,https://registry.worldcat.org/registry/Institutions/132448
yale,,4H7,Yale School of Drama Library,https://registry.worldcat.org/registry/Institutions/4798
yale,,BLY,"Yale University, Blackstone Collection",https://registry.worldcat.org/registry/Institutions/86517
yale,CtY,,Yale University Library,https://registry.worldcat.org/registry/Institutions/544
yale,CtY-A,,"Yale University, Art & Architecture Library",https://registry.worldcat.org/registry/Institutions/3797
yale,CtY-C,,"Yale University, Chemistry Library — Chemistry Library",https://registry.worldcat.org/registry/Institutions/3792
yale,CtY-D,,Yale University — Divinity School Library,https://registry.worldcat.org/registry/Institutions/3799
yale,CtY-FS,,"Yale University, Forestry Library",https://registry.worldcat.org/registry/Institutions/3791
yale,CtY-KS,,Yale University — Kline Science Library,https://registry.worldcat.org/registry/Institutions/4797
yale,CtY-L,,Yale University — Law School Library,https://registry.worldcat.org/registry/Institutions/4800
yale,CtY-M,,Yale University — Harvey Cushing/John Hay Whitney Medical Library,https://registry.worldcat.org/registry/Institutions/90336
yale,CtY-Mus,,Yale University — Music Library,https://registry.worldcat.org/registry/Institutions/3796
yale,,EB0,Yale University Library,https://registry.worldcat.org/registry/Institutions/106551
yale,,EHRAF,Human Relations Area Files (HRAF) at Yale University,https://registry.worldcat.org/registry/Institutions/5409
yale,,GXK,"Yale University, Anthropology Library",https://registry.worldcat.org/registry/Institutions/3790
yale,,GXL,"Yale University, Art & Architecture Library",https://registry.worldcat.org/registry/Institutions/3797
yale,,GXN,"Yale University, Chemistry Library — Chemistry Library",https://registry.worldcat.org/registry/Institutions/3792
yale,,GXO,"Yale University, Engineer & Applied Science Library",https://registry.worldcat.org/registry/Institutions/4799
yale,,GXP,"Yale University, Forestry Library",https://registry.worldcat.org/registry/Institutions/3791
yale,,GXQ,Yale University — Kline Science Library,https://registry.worldcat.org/registry/Institutions/4797
yale,,GXR,Yale University — Law School Library,https://registry.worldcat.org/registry/Institutions/4800
yale,,GXS,"Yale University, Mathematics Library",https://registry.worldcat.org/registry/Institutions/3795
yale,,GXU,"Yale University, Ornithology Library",https://registry.worldcat.org/registry/Institutions/3789
yale,,GXV,Yale University — Statistics Library,https://registry.worldcat.org/registry/Institutions/3793
yale,OAkU-L,,"Yale University, Blackstone Collection",https://registry.worldcat.org/registry/Institutions/86517
yale,,RQP,"Yale University, Latin American Project",https://registry.worldcat.org/registry/Institutions/3798
yale,,SGYNC,Yale-NUS College Library,https://registry.worldcat.org/registry/Institutions/142477
yale,,YRT,Yale University — Seeley G Mudd Library,https://registry.worldcat.org/registry/Institutions/3794
yale,,YU#,Yale University — Divinity School Library,https://registry.worldcat.org/registry/Institutions/3799
yale,,YUM,Yale University — Harvey Cushing/John Hay Whitney Medical Library,https://registry.worldcat.org/registry/Institutions/90336
yale,,YUS,Yale University Library,https://registry.worldcat.org/registry/Institutions/544
yale,,YUSGB,Yale University Group Batchload,https://registry.worldcat.org/registry/Institutions/132444
yale,,YUU,Yale University — Music Library,https://registry.worldcat.org/registry/Institutions/3796
